=== ACTIVITIES ===
date,type,name,duration_min,tss,kj,distance_km
2026-02-16,Ride,Easy Z2,70,48,1087.5,0.0
2026-02-17,Run,Treadmill: Threshold 6x1km,59,67,0.0,12.0
2026-02-18,Swim,Swim,40,67,0.0,2.0
2026-02-18,Ride,LowCadence // Force,135,123,2388.0,0.0
2026-02-19,Run,Easy Run + R,71,67,0.0,13.3
2026-02-20,Ride,Z2 + NM,120,109,2108.3,0.0
2026-02-21,Ride,Threshold 4x6’ // Endurance,130,129,2297.8,0.0

=== WELLNESS ===
date,sleep_hrs,resting_hr,hrv,weight,readiness,soreness,fatigue,steps,ctl,atl,tsb
2025-12-18,7.9,68,47.0,96.0,27.0,4,3,12518,88.81855,72.51477,16.3
2025-12-19,8.0,64,50.0,95.2,39.0,4,3,11751,90.98743,86.95655,4.0
2025-12-20,9.4,69,42.0,94.9,20.0,3,2,12177,90.89361,86.96233,3.9
2025-12-21,7.9,67,57.0,96.0,47.0,3,2,11693,90.119675,83.106804,7.0
2025-12-22,9.6,69,34.0,,25.0,3,3,11866,87.99931,72.04345,16.0
2025-12-23,8.8,65,40.0,,37.0,2,2,12431,88.446365,76.69694,11.7
2025-12-24,7.3,65,46.0,,30.0,2,2,21297,88.29469,77.40289,10.9
2025-12-25,22.9,74,25.183681,,14.0,3,4,11845,86.21727,67.098854,19.1
2025-12-26,22.6,69,38.5191,97.5,21.0,3,3,16055,87.0827,74.540535,12.5
2025-12-27,9.6,76,25.362946,97.4,,3,2,11963,88.25717,82.85527,5.4
2025-12-28,8.9,79,28.0,97.1,,2,2,11849,88.69816,86.069466,2.6
2025-12-29,7.2,81,18.895914,97.3,,3,2,12479,88.96407,87.92393,1.0
2025-12-30,7.5,77,19.871292,96.4,,2,2,13036,86.870895,76.21931,10.7
2025-12-31,7.7,70,36.937912,95.6,13.0,2,2,16431,87.95624,83.77807,4.2
2026-01-01,8.0,78,22.410904,95.7,,3,2,12392,88.82781,89.26562,-0.4
2026-01-02,7.9,74,24.100346,95.9,14.0,2,2,14809,89.796524,94.68826,-4.9
